vehiculo_marca,vehiculo_modelo,vehiculo_tipo,vehiculo_traccion,vehiculo_cilindrada,vehiculo_tipo_transmision,vehiculo_tipo_combustible,vehiculo_standard_emision,emision_CO2,consumo_urbano,consumo_extraurbano,consumo_mixto
VOLVO,XC40 T4,SUV,4x2,1969.0,AUTOMATICA,NAFTA,EURO VI d,189.0,12.1,6.9,8.4
MINI,JOHN COOPER WORKS,Coupe,4x2,1998.0,MANUAL,NAFTA,EURO VI c,157.0,8.6,5.9,6.9
MINI,JOHN COOPER WORKS,Coupe,4x2,1998.0,MANUAL,NAFTA,EURO VI c,159.0,8.7,5.9,7.0
MINI,JOHN COOPER WORKS,Coupe,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,137.0,7.1,5.3,6.0
MINI,JOHN COOPER WORKS,Coupe,4x2,1998.0,AUTOMATICA,NAFTA,EURO VI c,144.0,8.5,5.8,6.8
DOMY,X5,5 Puertas,4x2,1499.0,CVT,NAFTA,EURO V,188.0,10.1,6.7,7.9
CITROËN,C4 CACTUS,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,177.0,9.9,6.3,7.6
CITROËN,C4 CACTUS,5 Puertas,4x2,1587.0,MANUAL,NAFTA,EURO V,177.53,10.39,5.96,7.6
CITROËN,C4 CACTUS,5 Puertas,4x2,1587.0,AUTOMATICA,NAFTA,EURO V,182.49,9.48,6.83,7.81
BMW,X2 sDrive 18i,Rural,4x2,1499.0,MANUAL,NAFTA,EURO VI c,139.0,7.3,5.4,6.1
BMW,X2 sDrive 18i,Rural,4x2,1499.0,AUTOMATICA,NAFTA,EURO VI c,143.0,7.6,5.6,6.3
BORGWARD,BX7,5 Puertas,4x2,1981.0,AUTOMATICA,NAFTA,EURO V,221.0,12.1,7.61,9.3
BORGWARD,BX7,5 Puertas,4x4,1981.0,AUTOMATICA,NAFTA,EURO V,235.11,13.2,7.89,9.83
BORGWARD,BX5,5 Puertas,4x2,1797.0,AUTOMATICA,NAFTA,EURO V,194.7,11.16,6.48,8.2
BORGWARD,BX5,5 Puertas,4x4,1797.0,AUTOMATICA,NAFTA,EURO V,211.6,12.15,7.05,8.92
CHANGAN,CS75,Rural,4x4,1798.0,AUTOMATICA,NAFTA,EURO V,244.0,13.3,8.5,10.3
PORSCHE,911 GT3 RS,Coupe,4x2,3996.0,AUTOMATICA,NAFTA,EURO V,296.8,19.2,9.0,12.8
MINI,COOPER,Coupe,4x2,1499.0,MANUAL,NAFTA,EURO VI c,118.0,6.4,4.5,5.2
MINI,COOPER,5 Puertas,4x2,1499.0,MANUAL,NAFTA,EURO VI c,119.0,6.4,4.5,5.2
MINI,COOPER,Coupe,4x2,1499.0,MANUAL,NAFTA,EURO VI c,128.0,6.6,5.0,5.6
MINI,COOPER,Coupe,4x2,1499.0,AUTOMATICA,NAFTA,EURO VI c,122.0,6.2,4.8,5.3
MINI,COOPER,5 Puertas,4x2,1499.0,AUTOMATICA,NAFTA,EURO VI c,123.0,6.3,4.9,5.4
MINI,COOPER,Coupe,4x2,1499.0,AUTOMATICA,NAFTA,EURO VI c,129.0,6.5,5.2,5.6
DS,DS 7 CROSSBACK,5 Puertas,4x2,1997.0,AUTOMATICA,GAS OIL,EURO V,138.5,6.3,4.7,5.3
AUDI,A6,4 Puertas,4x4,2995.0,AUTOMATICA,NAFTA,EURO VI b,167.0,9.6,6.0,7.4
AUDI,A7 - A7 SPORTBACK,4 Puertas,4x4,2995.0,AUTOMATICA,NAFTA,EURO VI b,168.0,9.6,6.1,7.4
PEUGEOT,308,5 Puertas,4x2,1598.0,AUTOMATICA,NAFTA,EURO V,136.96,7.46,5.17,6.01
